Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Maxence Caqueret,Lyon,23, DMC  ,21(3),1830,2.6,0.9,1.4,0,0.7,1.8,0.1,0,6.93
Marshall Munetsi,Reims,26," D(C),M(C)  ",19(3),1672,1.8,0.8,1.7,0,1.2,0.8,0.2,0,6.93
Youssouf Fofana,Monaco,24, DMC  ,24(1),2111,2.5,1.2,1.5,0,1,1.1,0.1,1,6.93
Habib Diallo,Strasbourg,27," AM(R),FW  ",21(5),1896,0.5,0.4,1,0,0.3,0.2,0.1,0,6.93
Folarin Balogun,Reims,21, FW  ,22(3),1953,0.2,0,0.9,0,0.4,0.4,0,0,6.92
Tetê,Lyon,23, AM(R)  ,14(3),1114,1.2,0.8,0.6,0,0.1,0.5,0,0,6.92
Nicolas Pépé,Nice,27," AM(LR),FW  ",14(2),1259,1,0.1,0.7,0,0.1,0.6,0,0,6.92
Pau López,Marseille,28, GK  ,22,1980,0,0,0,0,0.6,0,0,0,6.92
Karl Toko Ekambi,Lyon,30," AM(LR),FW  ",15(4),1357,0.5,0.5,0.4,0,0.3,0.6,0.1,0,6.91
Neto Borges,Clermont Foot,26," D(L),M(L)  ",23,1984,2.6,1.4,0.6,0.1,1.5,1,0.4,0,6.91
Rayan Cherki,Lyon,19, AM(CR)  ,11(12),1018,0.5,0.2,0.4,0,0,0.3,0,0,6.91
Axel Disasi,Monaco,24, D(C)  ,25(1),2250,1,1.7,0.7,0.5,3.1,0.3,0.8,0,6.91
Alexis Flips,Reims,23, M(CLR)  ,18(3),1278,1.5,1,0.8,0.1,0.5,1.2,0.2,0,6.91
Chancel Mbemba,Marseille,28," D(CLR),DMC  ",24(1),2108,1.2,1.4,0.6,0.1,2.6,0.2,0.5,0,6.91
Mohamed Camara,Monaco,23, DMC  ,17(2),1478,3,0.9,1.8,0,0.5,1.2,0.2,0,6.90
Khéphren Thuram,Nice,21, DMC  ,21(5),1845,1.5,1,0.8,0,0.9,0.7,0.3,0,6.90
Edon Zhegrova,Lille,23, AM(R)  ,8(7),721,1,0.1,0.5,0,0.1,0.5,0,0,6.90
Rony Lopes,Troyes,27," AM(CLR),FW  ",20(2),1572,0.6,0.2,0.5,0,0.3,0.8,0.1,0,6.90
Kasper Schmeichel,Nice,36, GK  ,24,2160,0,0,0,0,0.5,0.1,0,0,6.90
