Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Craig Dawson,West Ham,32, D(CR)  ,30(4),2754,0.9,0.9,1.1,0.4,4.1,0.3,1.5,0,6.70
Vicente Guaita,Crystal Palace,36, GK  ,30,2656,0,0,0,0,0.7,0,0,0,6.70
Moussa Sissoko,Watford,33, M(CR)  ,36,3221,1.5,0.8,1,0,1.7,0.4,0.4,0,6.70
Fernandinho,Man City,37," D(CR),DMC  ",10(9),960,1.1,0.4,0.7,0.2,0.7,0.9,0.1,0,6.70
Anthony Gordon,Everton,22, AM(LR)  ,25(10),2285,1.5,0.6,0.7,0,0.2,1.1,0.1,0,6.70
Danny Welbeck,Brighton,32," AM(CLR),FW  ",15(10),1477,0.6,0.2,0.7,0.1,0.7,0.3,0.1,0,6.69
João Moutinho,Wolves,36, M(C)  ,34(1),2975,2.1,1,1,0,0.9,2.2,0.2,0,6.69
Ederson,Man City,29, GK  ,37,3330,0.1,0,0,0,0.6,0.1,0,0,6.69
Maxwel Cornet,Burnley,26," D(L),M(LR),FW  ",21(5),1778,0.6,0.4,0.8,0,0.5,0.3,0.2,0,6.69
Édouard Mendy,Chelsea,31, GK  ,34,3060,0,0,0,0,0.7,0.1,0,0,6.68
Jordan Ayew,Crystal Palace,31," AM(CLR),FW  ",23(8),2024,1.5,0.5,1.2,0,0.4,0.5,0.1,0,6.68
Joachim Andersen,Crystal Palace,26, D(C)  ,32(2),2915,0.9,1.1,0.6,0.2,3.6,0.3,0.6,1,6.67
Christian Pulisic,Chelsea,24," M(CLR),FW  ",13(9),1286,0.5,0.2,0.7,0,0.4,0.6,0,0,6.67
Granit Xhaka,Arsenal,30," D(L),M(C)  ",27,2331,1.2,0.8,1.1,0.1,1,0.9,0.2,0,6.67
Jack Harrison,Leeds,26," AM(CLR),FW  ",32(3),2652,1.6,0.6,0.8,0.1,0.5,1.3,0,0,6.66
Kiernan Dewsbury-Hall,Leicester,24, M(C)  ,23(5),2106,1.4,0.8,0.7,0,0.8,0.8,0.3,0,6.66
Martin Dúbravka,Newcastle,34, GK  ,26,2340,0,0,0,0,0.5,0,0,0,6.66
Michael Olise,Crystal Palace,21, AM(CLR)  ,12(14),1138,0.8,0.2,0.6,0,0.2,0.7,0,0,6.66
Odsonne Édouard,Crystal Palace,25," AM(L),FW  ",18(10),1567,0.6,0,0.9,0,0.6,0.5,0.2,0,6.66
Jadon Sancho,Man Utd,22, AM(CLR)  ,20(9),1904,0.5,0.5,0.1,0,0.2,0.5,0,0,6.66
Christian Benteke,Crystal Palace,32, FW  ,11(14),1136,0.1,0.1,0.6,0,1.3,0.2,0.1,0,6.66
Raúl Jiménez,Wolves,31, FW  ,30(4),2640,0.9,0.4,1.3,0,0.8,0.7,0.1,0,6.65
Ben Johnson,West Ham,23," D(CLR),M(LR)  ",16(4),1401,1.7,1.1,0.5,0.1,2.5,0.4,0.4,0,6.65
Aaron Ramsdale,Arsenal,24, GK  ,34,3060,0.1,0,0,0,1.1,0,0,0,6.65
