Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Stefano Sensi,Inter,27, AM(C)  ,4(14),596,0,0,1,1,1,88,0.1,0,6.40
Gabriele Zappa,Cagliari,23," D(R),M(R)  ",27(7),2405,0,4,3,0,0.3,78.4,0.3,0,6.40
Gonzalo Escalante,Lazio,29, DMC  ,4(20),720,0,1,5,0,0.3,88.7,0.5,0,6.40
Martín Cáceres,Fiorentina,35," D(CLR),M(R)  ",26(3),2241,2,2,4,0,0.5,80.3,0.9,1,6.39
Pedro Pereira,Crotone,25," D(R),M(R)  ",29(6),2560,0,4,6,0,0.4,76.8,0.8,0,6.39
Përparim Hetemaj,Benevento,36, M(CL)  ,27(4),2221,0,2,5,0,0.4,78.7,0.5,0,6.38
Mohamed Fares,Lazio,27," D(L),M(L)  ",12(9),1138,0,1,5,0,0.7,80.7,0.5,0,6.38
Rade Krunic,AC Milan,29, M(CL)  ,5(20),706,1,2,3,0,0.3,86.8,0.4,1,6.38
Igor Julio,Fiorentina,25," D(C),M(L)  ",13(8),1164,0,0,5,0,0,89.6,0.5,0,6.37
Marco Parolo,Lazio,38, M(C)  ,7(11),648,0,2,5,0,0.3,83.2,1.2,0,6.37
Eddie Salcedo,Verona,21," AM(C),FW  ",7(14),750,2,0,3,0,1,70.7,1.7,0,6.37
Ahmad Benali,Crotone,31, AM(CR)  ,15(3),1219,0,1,2,0,0.6,86.1,0.6,0,6.37
Karol Linetty,Torino,28, M(CLR)  ,20(7),1838,1,0,5,0,0.3,82.8,0.3,0,6.36
Luigi Sepe,Parma Calcio 1913,31, GK  ,36,3240,0,0,0,0,0,76.8,0.1,1,6.36
Bryan Dabo,Benevento,31," D(R),M(CR)  ",12(13),1116,0,0,5,0,0.5,78.5,2.2,0,6.35
Jeremy Toljan,Sassuolo,28," D(LR),M(LR)  ",18(8),1495,0,1,2,0,0.2,90,0.2,0,6.34
Jens Petter Hauge,AC Milan,23, AM(CLR)  ,3(15),522,2,0,0,0,0.4,80.4,0.3,0,6.34
Roberto Piccoli,Spezia,22, FW  ,8(12),701,5,0,0,0,0.8,67.7,0.9,0,6.34
