Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Boubacar Kamara,Marseille,23," D(CL),DMC  ",31(3),2779,1,0,6,0,0.6,90.6,1.2,0,6.91
Sofiane Diop,Monaco,22, AM(CLR)  ,24(6),1959,6,4,6,0,1.2,77.6,0.4,2,6.90
Flavien Tait,Rennes,30, M(CLR)  ,24(4),2131,5,3,3,0,1.5,86.4,0.3,0,6.90
Steve Mounié,Brest,28, FW  ,25(10),2313,9,2,2,0,2.1,60.2,6.4,1,6.89
Melvin Bard,Nice,22," D(L),M(L)  ",30(3),2593,2,2,4,0,0.2,82.8,1.2,1,6.89
Gerson,Marseille,25, M(CLR)  ,29(6),2553,9,4,3,0,1.3,90.4,0.7,2,6.89
Nayef Aguerd,Rennes,26, D(C)  ,31,2738,2,2,3,1,0.8,89,3.1,3,6.88
Dénis Bouanga,Saint-Etienne,28," M(CLR),FW  ",28(6),2449,9,6,4,1,2.5,71.7,2,3,6.88
William Saliba,Marseille,21, D(C)  ,36,3240,0,0,5,0,0.5,93.1,1.3,0,6.87
Mattéo Guendouzi,Marseille,23, M(C)  ,35(3),3154,4,6,6,0,1.3,88.4,0.6,3,6.87
Jean-Clair Todibo,Nice,23, D(C)  ,35(1),3116,1,0,6,0,0.5,87.5,1.9,2,6.87
Brendan Chardonnet,Brest,28, D(C)  ,31(1),2687,3,0,6,1,0.4,81.5,2.3,1,6.87
Idrissa Gueye,PSG,33, M(C)  ,18(8),1641,3,1,4,0,0.9,93.5,0.4,2,6.86
Marquinhos,PSG,28," D(CR),DMC  ",32,2862,5,0,5,0,0.7,93.6,1.3,0,6.86
Valentin Rongier,Marseille,28," D(R),M(C)  ",25(7),2199,0,1,3,0,0.9,90.1,0.6,0,6.85
Predrag Rajkovic,Reims,27, GK  ,38,3420,0,0,3,0,0,65.6,0.3,1,6.85
Renato Sanches,Lille,25, M(CR)  ,20(5),1657,2,5,6,1,0.9,85.1,0.4,5,6.85
Azor Matusiwa,Reims,24, DMC  ,29,2469,1,1,6,1,0.3,83.7,0.9,1,6.84
Jonathan Gradit,Lens,30, D(CR)  ,35,3073,0,0,7,0,0.1,89.2,1.4,1,6.84
Ruben Aguilar,Monaco,29," D(R),M(R)  ",22(6),2138,0,2,4,0,0.4,84.9,1.2,1,6.84
Ander Herrera,PSG,33, M(C)  ,12(7),1093,3,2,2,0,0.7,92.3,0.1,1,6.84
Hugo Ekitike,Reims,20, FW  ,15(9),1275,10,3,1,1,1.3,71.1,1.1,3,6.83
